
0, 0, 
-0.323467, 0.383959, 
-0.641525, 0.753911, 
-0.956469, 1.11556, 
-1.2703, 1.47369, 
-1.58472, 1.83211, 
-1.90106, 2.1935, 
-2.22029, 2.55927, 
-2.54295, 2.92943, 
-2.86911, 3.30242, 
-3.19837, 3.67496, 
-3.5298, 4.04202, 
-3.86202, 4.39687, 
-4.1933, 4.73135, 
-4.52167, 5.03628, 
-4.84515, 5.30209, 
-5.16193, 5.51947, 
-5.47058, 5.67996, 
-5.77009, 5.77635, 
-6.05987, 5.80285, 
-6.3396, 5.75494, 
-6.60903, 5.62907, 
-6.86769, 5.42227, 
-7.11458, 5.13176, 
-7.34789, 4.75467, 
-7.56476, 4.28793, 
-7.76101, 3.72818, 
-7.93101, 3.07197, 
-8.06757, 2.31593, 
-8.162, 1.4571, 
-8.20432, 0.493202, 
-8.18365, -0.576963, 
-8.08893, -1.75324, 
-7.90981, -3.0338, 
-7.63794, -4.41476, 
-7.26847, -5.88947, 
-6.80189, -7.44685, 
-6.24645, -9.06779, 
-5.62168, -10.7172, 
-4.96409, -12.3288, 
-4.33597, -13.7784, 
-3.8354, -14.8508, 
-3.59463, -15.2352, 
-3.73728, -14.6284, 
-4.28785, -12.9698, 
-5.12576, -10.5591, 
-6.06903, -7.83542, 
-6.98079, -5.11164, 
-7.79235, -2.53332, 
-8.47882, -0.153377, 
-9.0355, 2.00598, 
-9.46455, 3.92337, 
-9.76791, 5.56632, 
-9.94356, 6.88813, 
-9.98462, 7.83193, 
-9.88255, 8.34453, 
-9.63441, 8.4006, 
-9.25111, 8.02717, 
-8.75996, 7.30929, 
-8.19809, 6.36727, 
-7.60157, 5.3205, 
-6.99782, 4.26177, 
-6.40408, 3.25077, 
-5.8296, 2.31982, 
-5.27854, 1.48275, 
-4.7522, 0.742249, 
-4.25041, 0.0948218, 
-3.77224, -0.466357, 
-3.31635, -0.949784, 
-2.88111, -1.36474, 
-2.46466, -1.72077, 
-2.06498, -2.02743, 
-1.67988, -2.29402, 
-1.3071, -2.5295, 
-0.944331, -2.74228, 
-0.589311, -2.94011, 
-0.239896, -3.1299, 
0.105865, -3.31759, 
0.449649, -3.50799, 
0.792789, -3.70456, 
1.1362, -3.90932, 
1.48034, -4.12264, 
1.82513, -4.34313, 
2.16997, -4.56759, 
2.51377, -4.79102, 
2.85496, -5.00685, 
3.19168, -5.20726, 
3.52191, -5.38368, 
3.84368, -5.52744, 
4.15525, -5.63038, 
4.45526, -5.68533, 
4.74276, -5.68644, 
5.01716, -5.62922, 
5.27811, -5.51039, 
5.52531, -5.32756, 
5.75824, -5.07895, 
5.97602, -4.76304, 
6.17719, -4.37839, 
6.35952, -3.92354, 
6.51998, -3.39702, 
6.65464, -2.79744, 
6.75869, -2.12365, 
6.82656, -1.37493, 
6.85213, -0.551243, 
6.829, 0.346532, 
6.75098, 1.31636, 
6.61267, 2.35475, 
6.41016, 3.45637, 
6.14189, 4.6134, 
5.80969, 5.81437, 
5.42004, 7.04203, 
4.98576, 8.26953, 
4.52828, 9.45416, 
4.08057, 10.5283, 
3.68983, 11.3896, 
3.41674, 11.8994, 
3.32496, 11.9066, 
3.45594, 11.311, 
3.80058, 10.1379, 
4.29616, 8.54547, 
4.85766, 6.74365, 
5.41317, 4.90542, 
